category_list,market,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H
|Enterprises|Android|Mobile|, Android ,1500000.0,acquired,,,,,1,2010-01-07,2010-07,2010-Q3,2010.0,2010-07-01,2010-07-01,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Clean Technology|, Clean Technology ,15000000.0,acquired,USA,WA,Seattle,Seattle,3,1999-01-01,1999-01,1999-Q1,1999.0,2007-09-05,2010-02-25,0,15000000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0
|Software|, Software ,272000.0,closed,IRL,,IRL - Other,Athlone,1,2003-01-01,2003-01,2003-Q1,2003.0,2007-05-01,2007-05-01,0,272000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Security|, Security ,38064570.0,acquired,USA,CA,SF Bay Area,San Jose,4,2004-01-01,2004-01,2004-Q1,2004.0,2006-05-08,2012-04-11,0,38064570,0,0,0,0,0,0,0,0,0,0,0,0,11200000,10070000,13000000,0,0,0,0
|Web Hosting|, Web Hosting ,2258720.0,acquired,SWE,,Stockholm,Kista,1,,,,,2006-02-13,2006-02-13,0,2258720,0,0,0,0,0,0,0,0,0,0,0,0,2258720,0,0,0,0,0,0
|Software|, Software ,,closed,USA,CA,SF Bay Area,San Jose,1,2006-01-08,2006-08,2006-Q3,2006.0,2007-09-10,2007-09-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Automotive|Clean Energy|Internet|Cloud Computing|Wireless|Software|, Cloud Computing ,9416354.0,acquired,USA,CA,SF Bay Area,Sunnyvale,6,2006-01-01,2006-01,2006-Q1,2006.0,2006-08-01,2010-02-03,0,9146354,0,0,270000,0,0,0,0,0,0,0,0,2850000,1000000,500000,0,0,0,0,0
|Loyalty Programs|Social Media|E-Commerce|Enterprise Software|, E-Commerce ,12900000.0,acquired,USA,CA,SF Bay Area,San Francisco,6,2010-01-01,2010-01,2010-Q1,2010.0,2009-12-15,2013-03-12,1400000,9500000,0,0,0,2000000,0,0,0,0,0,0,0,4500000,5000000,0,0,0,0,0,0
|Automotive|, Automotive ,4500000.0,closed,,,,,1,,,,,2008-06-01,2008-06-01,0,4500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Photography|, Photography ,30000000.0,acquired,CHN,,Guangzhou,Guangzhou,2,2005-01-04,2005-04,2005-Q2,2005.0,2007-06-01,2007-12-01,0,30000000,0,0,0,0,0,0,0,0,0,0,0,10000000,20000000,0,0,0,0,0,0
|Photography|, Photography ,,acquired,,,,,1,2012-01-01,2012-01,2012-Q1,2012.0,2013-02-28,2013-02-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Education|Video|Games|, Video ,12800000.0,acquired,USA,NY,New York City,New York,3,2007-01-01,2007-01,2007-Q1,2007.0,2007-04-01,2009-07-23,0,12500000,0,0,0,0,300000,0,0,0,0,0,0,5000000,7500000,0,0,0,0,0,0
|Games|, Games ,3987693.0,acquired,KOR,,Seoul,Seoul,2,,2013-06,2013-Q2,2013.0,2010-09-01,2013-09-03,3987693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Internet|Internet Marketing|Advertising|, Internet Marketing ,17129760.0,acquired,USA,WA,Seattle,Seattle,4,2009-01-01,2009-01,2009-Q1,2009.0,2009-06-17,2010-11-10,0,15302260,0,0,0,1827500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Finance|Web Development|Business Development|Accounting|Software|, Finance ,1300000.0,acquired,GBR,,Edinburgh,Edinburgh,3,2009-01-06,2009-06,2009-Q2,2009.0,2009-06-29,2011-01-19,300000,1000000,0,0,0,0,0,0,0,0,0,0,0,1000000,0,0,0,0,0,0,0
|Software|, Software ,6700000.0,acquired,USA,NC,Raleigh,Morrisville,2,2004-01-01,2004-01,2004-Q1,2004.0,2005-11-11,2007-01-31,0,6700000,0,0,0,0,0,0,0,0,0,0,0,5000000,0,0,0,0,0,0,0
|E-Commerce|Analytics|Software|, E-Commerce ,6528902.0,closed,USA,TX,Austin,Austin,3,2006-01-01,2006-01,2006-Q1,2006.0,2009-02-09,2012-07-13,3800000,2368902,0,0,0,360000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,650000.0,closed,NZL,,Wellington,Wellington,1,,2010-05,2010-Q2,2010.0,2011-03-01,2011-03-01,650000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Music|, Music ,20100000.0,acquired,GBR,,London,London,4,2004-01-01,2004-01,2004-Q1,2004.0,2005-09-01,2013-11-25,0,18500000,0,0,0,1600000,0,0,0,0,0,0,0,8500000,0,0,0,0,0,0,0
|Email|Social Media|Mobile|Loyalty Programs|Sales and Marketing|Software|SaaS|Advertising|, Social Media ,2100000.0,closed,CAN,ON,Toronto,Toronto,1,,,,,2009-08-07,2009-08-07,0,2100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Task Management|Curated Web|, Task Management ,,closed,,,,,1,2008-01-01,2008-01,2008-Q1,2008.0,2008-03-02,2008-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Virtual Worlds|Games|, Virtual Worlds ,12250000.0,closed,USA,MA,Boston,Woburn,2,,,,,2008-03-01,2010-12-09,0,12250000,0,0,0,0,0,0,0,0,0,0,0,7000000,5250000,0,0,0,0,0,0
|Messaging|Social Media|Public Relations|, Public Relations ,1500000.0,closed,ISR,,ISR - Other,,2,,,,,2008-01-01,2008-01-01,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Social Commerce|E-Commerce|, E-Commerce ,15590000.0,acquired,USA,MN,Minneapolis,Minneapolis,3,2008-01-11,2008-11,2008-Q4,2008.0,2009-11-16,2011-03-21,0,15000000,0,0,0,0,590000,0,0,0,0,0,0,5000000,10000000,0,0,0,0,0,0
|Telecommunications|Web Hosting|, Telecommunications ,30608728.0,acquired,USA,CA,SF Bay Area,San Jose,1,1987-01-01,1987-01,1987-Q1,1987.0,2011-10-03,2011-10-03,0,0,0,0,0,0,0,0,30608728,0,0,0,0,0,0,0,0,0,0,0,0
|Mobile|, Mobile ,30000000.0,acquired,CHN,,Fuzhou Shi,Fuzhou Shi,1,2010-01-09,2010-09,2010-Q3,2010.0,2011-12-01,2011-12-01,0,0,0,0,0,0,30000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|E-Commerce|, E-Commerce ,,closed,CHN,,Shanghai,Shanghai,1,2005-01-01,2005-01,2005-Q1,2005.0,2010-08-23,2010-08-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Automotive|Cars|E-Commerce|, Automotive ,80000.0,closed,CHN,,Beijing,Beijing,2,,2009-11,2009-Q4,2009.0,2009-11-18,2010-01-06,80000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Restaurants|Point of Sale|, Restaurants ,,acquired,,,,,1,2012-01-01,2012-01,2012-Q1,2012.0,2013-04-18,2013-04-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|SEO|Social Media|, SEO ,70000.0,closed,RUS,,Perm,Yekaterinburg,1,2011-01-05,2011-05,2011-Q2,2011.0,2011-05-01,2011-05-01,70000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Sensors|Networking|Wireless|Software|, Software ,15000.0,closed,,,,,1,2011-05-03,2011-03,2011-Q1,2011.0,2011-03-05,2011-03-05,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,acquired,USA,TN,Nashville,Nashville,1,1989-01-01,1989-01,1989-Q1,1989.0,1994-04-14,1994-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,3000000.0,acquired,USA,CA,San Diego,San Diego,1,,,,,2009-06-03,2009-06-03,0,3000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,500000.0,closed,USA,IN,Indianapolis,Indianapolis,1,2008-01-01,2008-01,2008-Q1,2008.0,2011-01-03,2011-01-03,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Search|, Search ,6000000.0,acquired,USA,CA,SF Bay Area,San Francisco,2,2007-01-07,2007-07,2007-Q3,2007.0,2007-01-01,2008-10-01,0,5250000,0,0,0,0,750000,0,0,0,0,0,0,5250000,0,0,0,0,0,0,0
|Analytics|, Analytics ,500000.0,acquired,USA,WA,Seattle,Vancouver,1,2000-02-04,2000-04,2000-Q2,2000.0,2010-11-11,2010-11-11,0,500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,1770000.0,acquired,FRA,,Neuilly-sur-seine,Neuilly-sur-seine,1,2001-01-01,2001-01,2001-Q1,2001.0,2005-11-08,2005-11-08,0,1770000,0,0,0,0,0,0,0,0,0,0,0,1770000,0,0,0,0,0,0,0
|Advertising|, Advertising ,25000.0,closed,IND,,Chandigarh,Chandigarh,1,2007-05-12,2007-12,2007-Q4,2007.0,2007-01-05,2007-01-05,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Video|Education|, Video ,,acquired,USA,CA,SF Bay Area,San Francisco,1,2008-01-01,2008-01,2008-Q1,2008.0,2008-10-01,2008-10-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Health Care|, Health Care ,150000.0,closed,USA,CT,Hartford,Guilford,1,,,,,2012-05-18,2012-05-18,150000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Sports|Apps|Finance|Mobile|, Finance ,457282.0,closed,USA,MA,Boston,Cambridge,7,2008-01-08,2008-08,2008-Q3,2008.0,2008-01-01,2009-12-04,18000,150000,0,0,0,235000,0,54282,0,0,0,0,0,0,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,,acquired,,,,,1,2009-01-01,2009-01,2009-Q1,2009.0,2009-07-19,2009-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,1500000.0,acquired,USA,CA,Anaheim,Irvine,1,1997-01-01,1997-01,1997-Q1,1997.0,2009-02-27,2009-02-27,0,0,0,0,0,1500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Career Management|Software|, Career Management ,25305000.0,acquired,USA,CA,SF Bay Area,Santa Clara,4,2002-01-01,2002-01,2002-Q1,2002.0,2005-09-16,2010-12-14,0,25305000,0,0,0,0,0,0,0,0,0,0,0,1055000,17000000,3000000,0,0,0,0,0
|Fraud Detection|Credit Cards|Security|, Security ,7131124.0,acquired,USA,IL,Chicago,Itasca,3,2007-01-03,2007-03,2007-Q1,2007.0,2008-06-03,2010-05-04,0,7131124,0,0,0,0,0,0,0,0,0,0,0,4000000,2431124,0,0,0,0,0,0
|Health Care|, Health Care ,13793098.0,acquired,USA,CA,SF Bay Area,Mountain View,3,2002-01-01,2002-01,2002-Q1,2002.0,2010-03-03,2012-10-01,0,13793098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Networking|Software|Cloud Computing|Services|Data Centers|Web Hosting|, Services ,1999998.0,acquired,USA,MA,Boston,Marlborough,1,1999-01-01,1999-01,1999-Q1,1999.0,2009-11-23,2009-11-23,0,1999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Health Care|, Health Care ,21376001.0,acquired,USA,CA,San Diego,San Diego,6,2004-01-01,2004-01,2004-Q1,2004.0,2009-10-06,2012-06-21,0,20626001,0,0,0,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Games|, Games ,,acquired,,,,,1,,1997-12,1997-Q4,1997.0,2007-10-18,2007-10-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Consulting|, Consulting ,4000000.0,acquired,USA,CA,Los Angeles,El Segundo,1,,,,,2006-03-29,2006-03-29,0,4000000,0,0,0,0,0,0,0,0,0,0,0,4000000,0,0,0,0,0,0,0
|Vertical Search|Search|Software|, Vertical Search ,200000.0,closed,,,,,1,,2010-05,2010-Q2,2010.0,2010-05-20,2010-05-20,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,110640466.0,acquired,USA,CA,San Diego,San Diego,9,1996-01-01,1996-01,1996-Q1,1996.0,2003-05-16,2013-08-30,0,74150000,0,11566,0,30478899,0,0,6000001,0,0,0,0,0,13500000,8250000,28800000,16600000,0,0,0
|Software|, Software ,,acquired,USA,CO,Denver,Littleton,1,,,,,2002-08-01,2002-08-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Security|, Security ,8198838.0,acquired,USA,CO,Denver,Denver,4,2002-01-01,2002-01,2002-Q1,2002.0,2008-07-01,2014-10-17,0,8198838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Security|, Security ,2090000.0,closed,USA,CA,SF Bay Area,San Francisco,1,,,,,2009-01-09,2009-01-09,0,2090000,0,0,0,0,0,0,0,0,0,0,0,0,2090000,0,0,0,0,0,0
|Semiconductors|, Semiconductors ,4880000.0,closed,CAN,QC,Montreal,Montr�al,1,2000-01-01,2000-01,2000-Q1,2000.0,2007-05-30,2007-05-30,0,4880000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,5280000.0,acquired,USA,CA,SF Bay Area,San Mateo,1,1999-01-01,1999-01,1999-Q1,1999.0,2005-07-21,2005-07-21,0,5280000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5280000,0,0,0,0
|Telecommunications|Web Hosting|, Telecommunications ,22247779.0,acquired,USA,MA,Boston,Bedford,1,,,,,2009-05-14,2009-05-14,0,22247779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Consumer Internet|Mobile Security|Android|iOS|SaaS|Mobile|Email|Enterprise Software|, Android ,7300000.0,acquired,USA,CA,SF Bay Area,San Francisco,1,2013-01-01,2013-01,2013-Q1,2013.0,2013-06-04,2013-06-04,0,7300000,0,0,0,0,0,0,0,0,0,0,0,7300000,0,0,0,0,0,0,0
|Software|, Software ,20000000.0,acquired,USA,MA,Boston,Lowell,1,2002-01-01,2002-01,2002-Q1,2002.0,2006-06-19,2006-06-19,0,20000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Software|, Software ,7974296.0,acquired,USA,TX,Austin,Austin,1,1998-01-01,1998-01,1998-Q1,1998.0,2013-04-12,2013-04-12,0,7974296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Curated Web|, Curated Web ,40000.0,acquired,USA,NY,New York City,New York,1,2012-01-01,2012-01,2012-Q1,2012.0,2013-01-07,2013-01-07,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Search|Batteries|Clean Technology|, Clean Technology ,9800000.0,acquired,USA,TX,Austin,Austin,3,,,,,2008-07-22,2010-12-29,1000000,5800000,0,0,0,0,0,3000000,0,0,0,0,0,5800000,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,15600000.0,acquired,USA,CA,San Diego,San Diego,2,,,,,2005-04-28,2008-06-06,0,15600000,0,0,0,0,0,0,0,0,0,0,0,6000000,0,0,0,0,0,0,0
|Software|, Software ,24000000.0,acquired,,,,,3,1999-01-01,1999-01,1999-Q1,1999.0,2001-05-21,2004-01-14,0,24000000,0,0,0,0,0,0,0,0,0,0,0,4000000,10000000,10000000,0,0,0,0,0
|Mobile|, Mobile ,58200000.0,acquired,USA,WA,Seattle,Bellevue,5,2000-01-02,2000-02,2000-Q1,2000.0,2000-05-01,2007-07-01,0,58200000,0,0,0,0,0,0,0,0,0,0,0,7700000,5000000,15500000,10000000,20000000,0,0,0
|Biotechnology|, Biotechnology ,22585000.0,acquired,DEU,,DEU - Other,Gem�nden,2,2004-01-01,2004-01,2004-Q1,2004.0,2009-11-20,2011-02-16,0,22585000,0,0,0,0,0,0,0,0,0,0,0,22585000,0,0,0,0,0,0,0
|Software|, Software ,214208700.0,acquired,USA,TX,Dallas,Dallas,10,1999-01-08,1999-08,1999-Q3,1999.0,1999-09-01,2009-12-11,0,66208700,0,0,0,3000000,0,0,145000000,0,0,0,0,200000,15500000,19000000,11200000,20000000,0,0,0
,,2000000.0,closed,USA,CA,SF Bay Area,Fremont,1,,,,,2007-07-20,2007-07-20,0,2000000,0,0,0,0,0,0,0,0,0,0,0,0,2000000,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,16400000.0,closed,USA,CA,Los Angeles,Torrance,4,2008-01-10,2008-10,2008-Q4,2008.0,2009-11-03,2012-08-28,0,15000000,0,0,0,1400000,0,0,0,0,0,0,0,8000000,0,0,0,0,0,0,0
|Social Media|, Social Media ,,acquired,USA,WA,Seattle,Seattle,1,1983-01-01,1983-01,1983-Q1,1983.0,1990-10-31,1990-10-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Enterprise Software|, Enterprise Software ,5422959.0,acquired,USA,CA,SF Bay Area,Fremont,1,1985-01-01,1985-01,1985-Q1,1985.0,2009-12-29,2009-12-29,0,5422959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,805000.0,acquired,GBR,,London,London,1,,,,,2011-03-15,2011-03-15,0,805000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Mobile|, Mobile ,,acquired,GBR,,London,London,1,1981-01-01,1981-01,1981-Q1,1981.0,2005-03-02,2005-03-02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
|Biotechnology|, Biotechnology ,36700005.0,acquired,USA,MA,Boston,Marlborough,4,,,,,2009-12-16,2013-05-21,0,36700005,0,0,0,0,0,0,0,0,0,0,0,29200000,7000005,0,0,0,0,0,0
|Mobile|Advertising|, Mobile ,17600000.0,acquired,USA,CA,SF Bay Area,San Francisco,3,2005-01-11,2005-11,2005-Q4,2005.0,2005-01-01,2008-01-23,600000,17000000,0,0,0,0,0,0,0,0,0,0,0,5000000,12000000,0,0,0,0,0,0
